UT__yyyy-mm-ddThh:mm:ss.sssZ,N_ION_MOM_ESA-C__cm^-3_(All_Qs),VX_ION_GSM_MOM_ESA-C_(@_1_)_km/s_(All_Qs),VY_ION_GSM_MOM_ESA-C_(@_2_)_km/s_(All_Qs),VZ_ION_GSM_MOM_ESA-C_(@_3_)_km/s_(All_Qs),TX_ION_FA_MOM_ESA-C_(@_1_)_eV_(All_Qs),TY_ION_FA_MOM_ESA-C_(@_2_)_eV_(All_Qs),TZ_ION_FA_MOM_ESA-C_(@_3_)_eV_(All_Qs)
2008-08-12T20:53:03.627Z,0.27681031,-0.35741863,-10.419496,10.249679,1861.0814,1756.66,1378.3588
2008-08-12T20:53:06.637Z,0.3059482,-10.384341,-9.5877062,11.054089,1592.9089,1743.83,1232.4261
2008-08-12T20:53:09.648Z,0.27681028,-1.5687645,-20.190249,9.333124900000001,1975.7237,1804.5696,1331.5776
2008-08-12T20:53:12.658Z,0.3059482,-1.7298842,-11.632619,11.325935,1758.4817,1697.7053,1292.0173
2008-08-12T20:53:15.668Z,0.27681028,-0.75609165,-17.659083,13.051493,1909.4865,1852.1529,1311.3011
2008-08-12T20:53:18.679Z,0.27681028,-0.99644199,-7.456721000000001,5.847835900000001,1970.7408,1965.5968,1405.6917
2008-08-12T20:53:21.689Z,0.3059482,4.180370799999999,-8.0875152,20.440805,1659.5629,1822.1874,1213.673
2008-08-12T20:53:24.699Z,0.27681028,2.7207057,-17.2434,14.355297,1827.4304,1948.0334,1401.6126
2008-08-12T20:53:27.709Z,0.27681028,-8.7820909,-0.31500984,-2.7998054,1820.9634,1846.9129,1337.9547
2008-08-12T20:53:30.720Z,0.24767233,-3.3174596,-15.688314,2.1858303,2034.9342,2120.1344,1479.0108
2008-08-12T20:53:33.730Z,0.30594817,-8.3450597,-4.0359324,12.048048,1732.8783,1815.3568,1287.1177
2008-08-12T20:53:36.740Z,0.27681025,3.2208826,5.0611361,14.690279,1930.8295,2046.6945,1357.4303
2008-08-12T20:53:39.751Z,0.27681025,4.4941383,-8.2443671,18.389741,1947.1291,1936.9321,1354.5103
2008-08-12T20:53:42.761Z,0.30594817,7.634955199999999,6.8389666,19.134875,1697.0045,1720.3507,1279.1012
2008-08-12T20:53:45.771Z,0.30594817,-10.943279,5.693446700000001,10.593596,1583.527,1671.1939,1210.3877
2008-08-12T20:53:48.781Z,0.27681025,-14.503415,11.072861,8.766406,1793.6425,1777.1162,1341.6656
